# Station: KJAX
# Jacksonville KJAX — comma CSV with -9999 missing values
datetime,temperature,relative_humidity,wind_speed
2025-03-06 00:00,21.5,75,6.1
2025-03-06 01:00,20.5,77,5.7
2025-03-06 02:00,-9999,80,5.1
2025-03-06 03:00,18.0,82,4.4
2025-03-06 04:00,16.7,85,3.7
2025-03-06 05:00,15.5,88,-9999
2025-03-06 06:00,14.5,90,2.3
2025-03-06 07:00,13.7,92,1.7
2025-03-06 08:00,13.4,93,1.3
2025-03-06 09:00,13.0,93,1.0
2025-03-06 10:00,13.2,93,0.9
2025-03-06 11:00,-9999,92,1.0
2025-03-06 12:00,14.5,90,1.3
2025-03-06 13:00,15.5,88,1.7
2025-03-06 14:00,16.7,85,2.3
2025-03-06 15:00,18.0,82,3.0
2025-03-06 16:00,19.3,80,3.7
2025-03-06 17:00,20.5,77,-9999
2025-03-06 18:00,21.5,75,5.1
2025-03-06 19:00,22.3,73,5.7
2025-03-06 20:00,22.8,72,6.1
2025-03-06 21:00,23.0,72,6.4
2025-03-06 22:00,22.8,72,6.5
2025-03-06 23:00,22.3,73,6.4
