% Station: KMCO
% Orlando KMCO: -9999 for missing values
datetime	temperature	relative_humidity	wind_speed
2025-03-06T00:00:00Z	26.5	75	6.4
2025-03-06T01:00:00Z	25.5	77	6.0
2025-03-06T02:00:00Z	24.3	79	5.3
2025-03-06T03:00:00Z	23.0	82	4.7
2025-03-06T04:00:00Z	-9999	85	3.9
2025-03-06T05:00:00Z	20.5	87	3.1
2025-03-06T06:00:00Z	19.5	89	-9999
2025-03-06T07:00:00Z	18.7	91	1.8
2025-03-06T08:00:00Z	18.2	92	1.4
2025-03-06T09:00:00Z	18.0	92	1.1
2025-03-06T10:00:00Z	18.2	92	1.0
2025-03-06T11:00:00Z	18.7	91	1.1
2025-03-06T12:00:00Z	19.5	89	1.4
2025-03-06T13:00:00Z	20.5	87	1.8
2025-03-06T14:00:00Z	21.7	85	2.5
2025-03-06T15:00:00Z	23.0	82	3.1
2025-03-06T16:00:00Z	24.3	79	3.9
2025-03-06T17:00:00Z	25.5	77	4.7
2025-03-06T18:00:00Z	26.5	75	5.3
2025-03-06T19:00:00Z	27.3	73	6.0
2025-03-06T20:00:00Z	27.8	72	-9999
2025-03-06T21:00:00Z	28.0	72	6.7
2025-03-06T22:00:00Z	27.8	72	6.8
2025-03-06T23:00:00Z	27.3	73	6.7
