# Station: KMIA
# Miami KMIA — columns are separated by | (pipes), missing values are MISSING
datetime|temperature|relative_humidity|wind_speed
2025/03/06 00:00|MISSING|78|6.2
2025/03/06 01:00|27.6|80|5.5
2025/03/06 02:00|26.7|82|4.9
2025/03/06 03:00|25.8|83|4.1
2025/03/06 04:00|MISSING|85|3.3
2025/03/06 05:00|23.9|87|2.6
2025/03/06 06:00|23.1|88|2.0
2025/03/06 07:00|22.5|89|1.6
2025/03/06 08:00|22.1|MISSING|1.3
2025/03/06 09:00|22.0|90|1.2
2025/03/06 10:00|22.1|90|1.3
2025/03/06 11:00|22.5|89|1.6
2025/03/06 12:00|23.1|88|2.0
2025/03/06 13:00|23.9|87|2.6
2025/03/06 14:00|24.8|85|3.3
2025/03/06 15:00|25.8|83|4.1
2025/03/06 16:00|26.7|82|4.9
2025/03/06 17:00|27.6|80|5.5
2025/03/06 18:00|28.4|78|MISSING
2025/03/06 19:00|29.0|77|6.6
2025/03/06 20:00|29.4|77|6.9
2025/03/06 21:00|29.5|76|7.0
2025/03/06 22:00|29.4|77|6.9
2025/03/06 23:00|29.0|77|6.6
