# Station: KTLH (Tallahassee)
# Columns: datetime, temperature (C), relative_humidity (%), wind_speed (m/s)
datetime,temperature,relative_humidity,wind_speed
2025-03-06 00:00,20.2,78,6.1
2025-03-06 01:00,19.2,80,5.8
2025-03-06 02:00,18.2,82,5.4
2025-03-06 03:00,17.0,85,4.8
2025-03-06 04:00,15.8,88,4.2
2025-03-06 05:00,14.8,90,3.5
2025-03-06 06:00,13.8,92,2.8
2025-03-06 07:00,13.1,94,2.2
2025-03-06 08:00,12.7,95,1.6
2025-03-06 09:00,12.5,95,1.2
2025-03-06 10:00,12.7,95,0.9
2025-03-06 11:00,13.1,94,0.8
2025-03-06 12:00,13.8,92,0.9
2025-03-06 13:00,14.7,90,1.2
2025-03-06 14:00,15.8,88,1.6
2025-03-06 15:00,17.0,85,2.2
2025-03-06 16:00,18.2,82,2.8
2025-03-06 17:00,19.2,80,3.5
2025-03-06 18:00,20.2,78,4.2
2025-03-06 19:00,20.9,77,4.8
2025-03-06 20:00,21.3,76,5.4
2025-03-06 21:00,21.5,75,5.8
2025-03-06 22:00,21.3,76,6.1
2025-03-06 23:00,20.9,77,6.2
