# Ocean SST indices calculated from Extended Reconstructed Sea Surface Temperature version 5 (ERSST.v5)
date,NINO1+2,NINO3,NINO4,NINO3.4
1982-01-01,24.28,25.84,28.01,26.65
1982-02-01,25.38,26.26,27.99,26.54
1982-03-01,25.22,26.92,28.18,27.09
1982-04-01,24.57,27.52,28.61,27.83
1982-05-01,24.0,27.7,29.19,28.37
1982-06-01,22.88,27.1,29.46,28.35
1982-07-01,22.07,26.14,28.76,27.57
1982-08-01,21.71,26.05,28.7,27.76
1982-09-01,21.91,26.5,28.91,28.01
1982-10-01,22.67,27.04,29.11,28.5
1982-11-01,24.4,27.39,28.85,28.5
1982-12-01,25.73,28.07,28.81,28.85
1983-01-01,26.82,28.37,28.63,28.7
1983-02-01,27.65,28.39,28.51,28.54
1983-03-01,28.34,28.48,28.59,28.45
1983-04-01,28.1,28.76,28.49,28.49
1983-05-01,27.87,28.64,28.97,28.56
1983-06-01,27.2,28.09,28.78,28.16
1983-07-01,25.69,26.56,28.46,26.97
1983-08-01,23.73,25.77,28.2,26.46
1983-09-01,22.16,25.21,28.06,26.38
1983-10-01,21.98,24.56,27.67,25.75
1983-11-01,22.01,24.16,27.67,25.53
1983-12-01,22.95,24.39,27.48,25.49
1984-01-01,24.35,24.8,27.41,25.6
1984-02-01,25.23,26.41,27.26,26.57
1984-03-01,25.72,26.88,27.32,26.71
1984-04-01,25.28,27.28,27.54,27.27
1984-05-01,23.44,26.38,27.94,27.19
1984-06-01,22.21,25.36,28.04,26.68
1984-07-01,21.15,25.04,28.34,26.62
1984-08-01,20.28,24.64,28.04,26.36
1984-09-01,20.2,24.72,28.22,26.35
1984-10-01,20.45,24.18,28.02,26.02
1984-11-01,21.42,24.15,27.92,25.52
1984-12-01,22.62,23.89,27.45,25.16
1985-01-01,23.59,24.28,27.39,25.26
1985-02-01,24.79,25.24,27.53,25.81
1985-03-01,25.66,26.21,27.23,26.35
1985-04-01,24.3,26.64,27.42,26.71
1985-05-01,22.72,25.99,27.71,26.81
1985-06-01,21.83,25.45,27.88,26.63
1985-07-01,20.46,24.73,28.05,26.5
1985-08-01,19.6,24.24,28.09,26.27
1985-09-01,19.23,24.04,28.08,25.99
1985-10-01,19.76,24.11,28.11,26.03
1985-11-01,20.83,24.29,28.3,26.23
1985-12-01,22.34,24.39,28.1,26.05
1986-01-01,24.5,24.8,27.7,25.84
1986-02-01,25.88,25.8,27.73,25.95
1986-03-01,25.91,26.74,27.94,26.64
1986-04-01,24.82,27.04,27.83,27.29
1986-05-01,23.34,26.44,28.35,27.32
1986-06-01,22.16,26.15,28.6,27.38
1986-07-01,21.22,25.78,28.5,27.26
1986-08-01,20.72,25.12,28.68,27.09
1986-09-01,20.47,25.3,28.83,27.16
